,Country,Start Year,Total Death Heat Wave,Total Death Cold Wave + Severe Winter Conditions,Total Death Country Year,Pct Death Heat Wave,Pct Death Cold Wave + Severe Winter Conditions
0,Afghanistan,2020,0.0,0.0,328.0,0.0,0.0
1,Afghanistan,2021,0.0,0.0,396.0,0.0,0.0
2,Afghanistan,2022,0.0,0.0,1366.0,0.0,0.0
3,Afghanistan,2023,0.0,166.0,2688.0,0.0,6.175595238095238
4,Afghanistan,2024,0.0,1197.0,2053.0,0.0,58.30491962981004
5,Albania,2021,0.0,0.0,0.0,0.0,0.0
6,Algeria,2020,0.0,0.0,31.0,0.0,0.0
7,Algeria,2021,0.0,0.0,134.0,0.0,0.0
8,Algeria,2022,0.0,0.0,60.0,0.0,0.0
9,Algeria,2023,0.0,0.0,103.0,0.0,0.0
10,Algeria,2024,0.0,0.0,73.0,0.0,0.0
11,Angola,2020,0.0,0.0,33.0,0.0,0.0
12,Angola,2021,0.0,0.0,22.0,0.0,0.0
13,Angola,2023,0.0,0.0,84.0,0.0,0.0
14,Angola,2024,0.0,0.0,329.0,0.0,0.0
15,Argentina,2020,0.0,0.0,3.0,0.0,0.0
16,Argentina,2021,0.0,0.0,15.0,0.0,0.0
17,Argentina,2022,0.0,0.0,17.0,0.0,0.0
18,Argentina,2023,0.0,0.0,13.0,0.0,0.0
19,Argentina,2024,0.0,0.0,1.0,0.0,0.0
20,Armenia,2020,0.0,0.0,0.0,0.0,0.0
21,Armenia,2022,0.0,0.0,17.0,0.0,0.0
22,Armenia,2023,0.0,0.0,15.0,0.0,0.0
23,Armenia,2024,0.0,0.0,4.0,0.0,0.0
24,Australia,2020,0.0,0.0,1.0,0.0,0.0
25,Australia,2021,0.0,0.0,7.0,0.0,0.0
26,Australia,2022,0.0,0.0,31.0,0.0,0.0
27,Australia,2023,0.0,0.0,20.0,0.0,0.0
28,Australia,2024,0.0,0.0,3.0,0.0,0.0
29,Austria,2021,0.0,0.0,1.0,0.0,0.0
30,Austria,2022,0.0,0.0,5.0,0.0,0.0
31,Austria,2024,0.0,0.0,5.0,0.0,0.0
32,Azerbaijan,2021,0.0,0.0,14.0,0.0,0.0
33,Bangladesh,2020,0.0,0.0,372.0,0.0,0.0
34,Bangladesh,2021,0.0,0.0,546.0,0.0,0.0
35,Bangladesh,2022,0.0,0.0,318.0,0.0,0.0
36,Bangladesh,2023,0.0,0.0,181.0,0.0,0.0
37,Bangladesh,2024,10.0,0.0,169.0,5.9171597633136095,0.0
38,Barbados,2021,0.0,0.0,0.0,0.0,0.0
39,Belarus,2023,0.0,0.0,0.0,0.0,0.0
40,Belgium,2021,0.0,0.0,39.0,0.0,0.0
41,Belgium,2023,0.0,0.0,0.0,0.0,0.0
42,Belize,2020,0.0,0.0,0.0,0.0,0.0
43,Belize,2022,0.0,0.0,0.0,0.0,0.0
44,Belize,2024,0.0,0.0,0.0,0.0,0.0
45,Benin,2020,0.0,0.0,6.0,0.0,0.0
46,Benin,2021,0.0,0.0,13.0,0.0,0.0
47,Benin,2022,0.0,0.0,44.0,0.0,0.0
48,Benin,2023,0.0,0.0,56.0,0.0,0.0
49,Benin,2024,0.0,0.0,0.0,0.0,0.0
50,Bhutan,2021,0.0,0.0,10.0,0.0,0.0
51,Bolivia (Plurinational State of),2020,0.0,0.0,31.0,0.0,0.0
52,Bolivia (Plurinational State of),2021,0.0,0.0,127.0,0.0,0.0
53,Bolivia (Plurinational State of),2022,0.0,0.0,82.0,0.0,0.0
54,Bolivia (Plurinational State of),2023,0.0,0.0,44.0,0.0,0.0
55,Bolivia (Plurinational State of),2024,0.0,0.0,33.0,0.0,0.0
56,Bosnia and Herzegovina,2020,0.0,0.0,0.0,0.0,0.0
